,tackles_for_loss,solo_tackles,passes_defended,assists_on_tackles,total_tackles,sacks,interceptions,interceptions_returned_for_touchdown,yards_returned_from_interceptions,games,player_id,name,team_abbreviation
61,21.0,79.0,4.0,85.0,164.0,5.0,2.0,1.0,26.0,30.0,deion-jones-1,Deion Jones,LSU
62,17.0,41.0,6.0,29.0,70.0,11.5,1.0,1.0,17.0,22.0,tj-watt-1,T.J. Watt,Wisconsin
63,23.5,168.0,10.0,116.0,284.0,4.5,1.0,0.0,-1.0,38.0,jaylon-smith-1,Jaylon Smith,Notre Dame
64,23.5,193.0,0.0,188.0,381.0,2.0,9.0,0.0,66.0,48.0,craig-robertson-1,Craig Robertson,North Texas
65,9.0,135.0,12.0,87.0,222.0,3.0,3.0,0.0,32.0,33.0,jayon-brown-1,Jayon Brown,UCLA
66,38.0,72.0,3.0,53.0,125.0,20.0,1.0,0.0,4.0,36.0,justin-houston-1,Justin Houston,Georgia
67,12.5,85.0,2.0,54.0,139.0,3.0,1.0,0.0,7.0,35.0,vince-williams-1,Vince Williams,Florida State
68,21.0,102.0,3.0,60.0,162.0,10.5,0.0,0.0,0.0,28.0,sione-takitaki-1,Sione Takitaki,Brigham Young
69,13.0,128.0,6.0,60.0,188.0,5.0,3.0,0.0,47.0,28.0,leighton-vander-esch-1,Leighton Vander Esch,Boise State
70,23.0,214.0,10.0,146.0,360.0,8.0,1.0,1.0,33.0,35.0,kevin-pierre-louis-1,Kevin Pierre-Louis,Boston College
71,3.0,10.0,0.0,5.0,15.0,0.5,0.0,0.0,0.0,7.0,jonathan-allen-1,Jonathan Allen,Alabama
72,27.0,116.0,7.0,73.0,189.0,18.5,1.0,0.0,0.0,53.0,peter-kalambayi-1,Peter Kalambayi,Stanford
73,22.5,129.0,1.0,100.0,229.0,7.0,4.0,1.0,112.0,48.0,demario-davis-1,Demario Davis,Arkansas State
74,4.0,11.0,1.0,3.0,14.0,1.0,0.0,0.0,0.0,8.0,haason-reddick-1,Haason Reddick,Temple
75,31.0,118.0,5.0,127.0,245.0,18.0,3.0,2.0,101.0,38.0,shaquil-barrett-1,Shaquil Barrett,Colorado State
78,61.5,157.0,11.0,69.0,226.0,25.0,7.0,2.0,122.0,52.0,kyle-van-noy-1,Kyle Van Noy,Brigham Young
