,solo_tackles,assists_on_tackles,total_tackles,interceptions,interceptions_returned_for_touchdown,yards_returned_from_interceptions,games,player_id,name,team_abbreviation
25,106.0,53.0,159.0,5.0,0.0,164.0,41.0,kareem-jackson-1,Kareem Jackson,Alabama
26,179.0,71.0,250.0,9.0,0.0,100.0,50.0,tashaun-gipson-1,Tashaun Gipson,Wyoming
27,123.0,45.0,168.0,4.0,0.0,0.0,34.0,deon-bush-1,Deon Bush,Miami (FL)
29,111.0,139.0,250.0,0.0,0.0,0.0,35.0,laroy-reynolds-1,Laroy Reynolds,Virginia
30,45.0,22.0,67.0,0.0,0.0,0.0,17.0,dallin-leavitt-1,Dallin Leavitt,Brigham Young
31,1.0,0.0,1.0,0.0,0.0,0.0,0.0,jordan-lucas-1,Jordan Lucas,Penn State
32,86.0,35.0,121.0,7.0,0.0,35.0,26.0,jason-verrett-1,Jason Verrett,Texas Christian
33,80.0,45.0,125.0,6.0,1.0,90.0,25.0,amani-hooker-1,Amani Hooker,Iowa
34,138.0,61.0,199.0,5.0,0.0,62.0,39.0,budda-baker-1,Budda Baker,Washington
35,157.0,58.0,215.0,13.0,0.0,213.0,46.0,tedric-thompson-1,Tedric Thompson,Colorado
36,112.0,28.0,140.0,8.0,0.0,54.0,41.0,xavier-rhodes-1,Xavier Rhodes,Florida State
37,115.0,52.0,167.0,4.0,0.0,33.0,33.0,saquan-hampton-1,Saquan Hampton,Rutgers
39,72.0,32.0,104.0,9.0,0.0,35.0,35.0,sean-bunting-1,Sean Bunting,Central Michigan
40,132.0,77.0,209.0,4.0,0.0,58.0,54.0,shawn-williams-1,Shawn Williams,Georgia
41,109.0,90.0,199.0,6.0,0.0,104.0,39.0,eric-reid-1,Eric Reid,LSU
42,144.0,89.0,233.0,5.0,1.0,79.0,49.0,kavon-frazier-1,Kavon Frazier,Central Michigan
43,139.0,43.0,182.0,8.0,2.0,153.0,40.0,darnell-savage-jr-1,Darnell Savage Jr.,Maryland
44,122.0,62.0,184.0,5.0,1.0,103.0,41.0,landon-collins-1,Landon Collins,Alabama
45,60.0,30.0,90.0,2.0,0.0,27.0,24.0,jomal-wiltz-1,Jomal Wiltz,Iowa State
46,101.0,35.0,136.0,4.0,0.0,0.0,36.0,carlton-davis-1,Carlton Davis,Auburn
47,135.0,66.0,201.0,9.0,0.0,62.0,48.0,rayshawn-jenkins-1,Rayshawn Jenkins,Miami (FL)
48,116.0,68.0,184.0,8.0,1.0,174.0,48.0,blake-countess-1,Blake Countess,Michigan
49,15.0,3.0,18.0,0.0,0.0,0.0,0.0,kevin-peterson-1,Kevin Peterson,Oklahoma State
50,165.0,64.0,229.0,8.0,0.0,50.0,45.0,justin-simmons-1,Justin Simmons,Boston College
51,127.0,97.0,224.0,4.0,0.0,40.0,40.0,jimmie-ward-1,Jimmie Ward,Northern Illinois
52,125.0,63.0,188.0,11.0,0.0,114.0,34.0,marcus-williams-9,Marcus Williams,Utah
53,147.0,155.0,302.0,8.0,0.0,74.0,51.0,jahleel-addae-1,Jahleel Addae,Central Michigan
54,31.0,23.0,54.0,0.0,0.0,0.0,16.0,robert-jackson-8,Robert Jackson,UNLV
