,tackles_for_loss,solo_tackles,passes_defended,assists_on_tackles,total_tackles,sacks,fumbles_forced,games,player_id,name,team_abbreviation
235,18.0,42.0,10.0,60.0,102.0,8.5,0.0,38.0,chris-jones-8,Chris Jones,Mississippi State
236,33.0,66.0,5.0,47.0,113.0,22.5,7.0,34.0,von-miller-1,Von Miller,Texas A&M
237,0.0,3.0,0.0,0.0,3.0,0.0,0.0,9.0,garrison-sanborn-1,Garrison Sanborn,Florida State
239,13.5,24.0,0.0,24.0,48.0,9.5,0.0,11.0,demarcus-lawrence-1,Demarcus Lawrence,Boise State
240,0.0,6.0,0.0,6.0,12.0,0.0,0.0,0.0,jordan-phillips-1,Jordan Phillips,Oklahoma
241,49.0,124.0,13.0,62.0,186.0,19.5,2.0,37.0,kawann-short-1,Kawann Short,Purdue
242,4.0,17.0,0.0,13.0,30.0,0.5,0.0,11.0,andrew-billings-1,Andrew Billings,Baylor
243,27.0,33.0,1.0,43.0,76.0,13.5,4.0,25.0,tyrone-crawford-1,Tyrone Crawford,Boise State
244,29.0,40.0,2.0,41.0,81.0,18.0,11.0,37.0,whitney-mercilus-1,Whitney Mercilus,Illinois
246,33.5,125.0,10.0,51.0,176.0,11.0,8.0,36.0,kerry-hyder-1,Kerry Hyder,Texas Tech
247,22.0,41.0,3.0,56.0,97.0,10.5,2.0,36.0,jr-sweezy-1,Jr Sweezy,North Carolina State
248,0.0,7.0,0.0,4.0,11.0,0.0,0.0,4.0,jakob-johnson-1,Jakob Johnson,Tennessee
249,1.0,4.0,0.0,4.0,8.0,0.0,0.0,0.0,eddie-goldman-1,Eddie Goldman,Florida State
250,2.5,8.0,1.0,9.0,17.0,1.5,0.0,0.0,mario-edwards-jr-1,Mario Edwards Jr.,Florida State
