,points,receiving_touchdowns,total_touchdowns,fumbles_recovered,receptions,plays_from_scrimmage,receiving_yards,total_tackles,yards_from_scrimmage,rushing_and_receiving_touchdowns,games,player_id,name,team_abbreviation
194,114.0,19.0,19.0,0.0,189.0,189.0,2984.0,2.0,2984.0,19.0,34.0,aj-brown-3,A.J. Brown,Ole Miss
195,66.0,11.0,11.0,0.0,109.0,112.0,1287.0,1.0,1294.0,11.0,35.0,steven-mitchell-1,Steven Mitchell,USC
196,180.0,26.0,30.0,0.0,157.0,188.0,2707.0,2.0,2934.0,29.0,37.0,golden-tate-1,Golden Tate,Notre Dame
197,72.0,6.0,12.0,0.0,66.0,91.0,1351.0,1.0,1615.0,10.0,25.0,dj-chark-1,D.J. Chark,LSU
198,150.0,24.0,25.0,0.0,262.0,271.0,3759.0,10.0,3874.0,25.0,51.0,jordan-matthews-1,Jordan Matthews,Vanderbilt
199,102.0,17.0,17.0,0.0,151.0,151.0,2499.0,4.0,2499.0,17.0,26.0,mike-evans-4,Mike Evans,Texas A&M
200,36.0,6.0,6.0,0.0,141.0,152.0,1877.0,4.0,2001.0,6.0,33.0,alex-erickson-1,Alex Erickson,Wisconsin
201,60.0,10.0,10.0,0.0,83.0,88.0,1297.0,21.0,1384.0,10.0,44.0,cody-core-1,Cody Core,Ole Miss
202,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,0.0,5.0,michael-davis-7,Michael Davis,Brigham Young
203,126.0,21.0,21.0,1.0,202.0,208.0,2393.0,1.0,2383.0,21.0,35.0,laquon-treadwell-1,Laquon Treadwell,Ole Miss
204,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-6.0,0.0,3.0,matt-slater-1,Matt Slater,UCLA
205,180.0,30.0,30.0,0.0,144.0,146.0,2512.0,5.0,2520.0,30.0,32.0,william-fuller-2,William Fuller,Notre Dame
207,120.0,20.0,20.0,0.0,130.0,131.0,2040.0,2.0,2035.0,20.0,40.0,deon-cain-1,Deon Cain,Clemson
208,12.0,2.0,2.0,0.0,41.0,41.0,467.0,3.0,467.0,2.0,23.0,cam-sims-1,Cam Sims,Alabama
209,108.0,17.0,18.0,0.0,146.0,163.0,2027.0,3.0,2152.0,18.0,36.0,dj-moore-3,D.J. Moore,Maryland
210,60.0,10.0,10.0,0.0,123.0,123.0,1442.0,2.0,1442.0,10.0,34.0,ricky-seals-jones-1,Ricky Seals-Jones,Texas A&M
211,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,2.0,darrell-daniels-1,Darrell Daniels,Washington
212,84.0,14.0,14.0,0.0,99.0,99.0,1362.0,1.0,1362.0,14.0,23.0,jaleel-scott-1,Jaleel Scott,New Mexico State
213,30.0,5.0,5.0,0.0,84.0,84.0,1085.0,3.0,1085.0,5.0,32.0,deante-burton-1,Deante Burton,Kansas State
214,90.0,5.0,15.0,0.0,68.0,177.0,756.0,5.0,1467.0,12.0,27.0,tony-pollard-1,Tony Pollard,Memphis
215,96.0,16.0,16.0,0.0,154.0,155.0,1875.0,3.0,1873.0,16.0,44.0,gehrig-dieter-1,Gehrig Dieter,SMU
216,90.0,14.0,15.0,0.0,255.0,256.0,2959.0,2.0,2961.0,15.0,49.0,cole-beasley-1,Cole Beasley,SMU
